timestamp_ms,q_cmd_rad,q_actual_rad,q_error_rad,vel_rad_s,tau_feedback_Nm,contact_tau,contact_pos,label
6937,3.36366,3.41554,-0.05188,-0.12454,-0.20269,0,1,hard
6942,3.36366,3.41478,-0.05112,-0.15385,-0.17827,0,1,hard
6947,3.36366,3.41440,-0.05074,-0.09524,-0.17338,0,1,hard
6952,3.36366,3.41402,-0.05036,-0.00733,-0.18803,0,1,hard
6957,3.36366,3.41402,-0.05036,-0.02198,-0.21245,0,1,hard
6962,3.36366,3.41402,-0.05036,-0.05128,-0.22711,0,1,hard
6967,3.36366,3.41402,-0.05036,-0.02198,-0.23199,0,1,hard
6973,3.36366,3.41402,-0.05036,-0.00733,-0.24176,0,1,hard
6978,3.36366,3.41402,-0.05036,-0.02198,-0.24176,0,1,hard
6983,3.36366,3.41402,-0.05036,-0.02198,-0.24664,0,1,hard
6988,3.36366,3.41402,-0.05036,-0.00733,-0.25153,0,1,hard
6993,3.36366,3.41402,-0.05036,-0.00733,-0.25153,0,1,hard
6998,3.36366,3.41402,-0.05036,-0.02198,-0.25641,0,1,hard
7003,3.36366,3.41402,-0.05036,-0.00733,-0.25153,0,1,hard
7008,3.36366,3.41402,-0.05036,-0.00733,-0.25153,0,1,hard
7013,3.36366,3.41402,-0.05036,-0.00733,-0.25641,0,1,hard
7018,3.36366,3.41402,-0.05036,-0.00733,-0.25641,1,1,hard
7023,3.36366,3.41402,-0.05036,-0.00733,-0.25641,1,1,hard
7028,3.36366,3.41402,-0.05036,-0.00733,-0.25641,1,1,hard
7033,3.36366,3.41402,-0.05036,-0.00733,-0.25641,1,1,hard
7038,3.36366,3.41402,-0.05036,-0.00733,-0.25641,1,1,hard
7043,3.36366,3.41402,-0.05036,-0.00733,-0.25641,1,1,hard
7048,3.36366,3.41402,-0.05036,-0.00733,-0.25641,1,1,hard
7053,3.36366,3.41402,-0.05036,-0.00733,-0.25641,1,1,hard
7058,3.36366,3.41402,-0.05036,-0.00733,-0.26129,1,1,hard
7064,3.36366,3.41402,-0.05036,-0.00733,-0.25641,1,1,hard
7069,3.36366,3.41402,-0.05036,-0.00733,-0.25641,1,1,hard
7074,3.36366,3.41402,-0.05036,-0.00733,-0.25641,1,1,hard
7079,3.36366,3.41402,-0.05036,-0.00733,-0.25641,1,1,hard
7084,3.36366,3.41402,-0.05036,-0.00733,-0.25641,1,1,hard
7089,3.36366,3.41402,-0.05036,-0.00733,-0.25641,1,1,hard
7094,3.36366,3.41402,-0.05036,-0.00733,-0.25641,1,1,hard
7099,3.36366,3.41402,-0.05036,-0.00733,-0.25641,1,1,hard
7104,3.36366,3.41402,-0.05036,-0.00733,-0.26129,1,1,hard
7109,3.36366,3.41402,-0.05036,-0.00733,-0.25641,1,1,hard
7114,3.36366,3.41402,-0.05036,-0.00733,-0.25641,1,1,hard
7119,3.36366,3.41402,-0.05036,-0.00733,-0.25641,1,1,hard
7124,3.36366,3.41402,-0.05036,-0.00733,-0.25641,1,1,hard
7129,3.36366,3.41402,-0.05036,-0.00733,-0.25641,1,1,hard
7134,3.36366,3.41402,-0.05036,-0.00733,-0.26129,1,1,hard
7139,3.36366,3.41402,-0.05036,-0.00733,-0.25641,1,1,hard
7144,3.36366,3.41402,-0.05036,-0.00733,-0.25641,1,1,hard
7149,3.36366,3.41402,-0.05036,-0.00733,-0.25641,1,1,hard
7155,3.36366,3.41402,-0.05036,-0.00733,-0.25641,1,1,hard
7160,3.36366,3.41402,-0.05036,-0.00733,-0.25641,1,1,hard
7165,3.36366,3.41402,-0.05036,-0.00733,-0.25641,1,1,hard
7170,3.36366,3.41402,-0.05036,-0.00733,-0.25641,1,1,hard
7175,3.36366,3.41402,-0.05036,-0.00733,-0.25641,1,1,hard
7180,3.36366,3.41402,-0.05036,-0.00733,-0.25641,1,1,hard
7185,3.36366,3.41402,-0.05036,-0.00733,-0.26129,1,1,hard
7190,3.36366,3.41363,-0.04997,-0.02198,-0.25641,1,0,hard
7195,4.36366,3.41363,0.95003,-0.00733,-0.25641,1,1,hard
7200,4.36366,3.41363,0.95003,-0.00733,-0.25641,1,1,hard
7205,4.36366,3.41363,0.95003,-0.00733,-0.25641,1,1,hard
7210,4.36366,3.41363,0.95003,-0.00733,-0.25641,1,1,hard
7215,4.36366,3.41363,0.95003,-0.00733,-0.25641,1,1,hard
7220,4.36366,3.41363,0.95003,-0.00733,-0.25641,1,1,hard
7225,4.36366,3.41936,0.94430,2.54213,0.62271,1,1,hard
7230,4.36366,3.43881,0.92485,4.47619,0.56899,1,1,hard
7235,4.36366,3.46094,0.90272,4.46154,0.25641,1,1,hard
7240,4.36366,3.48268,0.88098,4.25641,0.12454,0,1,hard
7246,4.36366,3.50366,0.86000,4.09524,0.08547,0,1,hard
7251,4.36366,3.52388,0.83978,4.05128,0.09035,0,1,hard
7256,4.36366,3.54410,0.81956,3.94872,0.09524,0,1,hard
